city,neighborhood,address,total_spaces,published_spaces,searchable_spaces,avg_llm_score,owner_name,owner_website,owner_linkedin,boston_caveat
Boston,Downtown,40 Water St,2,1,0,0.700,DAOL Asset Management,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Back Bay,143 Newbury St,1,1,0,0.680,Romulus,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Seaport,35 Channel Center St,1,1,0,0.680,,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Seaport,2 Seaport Ln,1,1,0,0.660,,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Back Bay,101 Belvidere St,1,1,0,0.660,Christian Science,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Back Bay,83 Newbury St,1,1,0,0.660,,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Back Bay,400 Commonwealth Ave,1,1,0,0.660,,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Back Bay,364 Boylston St,2,2,0,0.640,Arnold Zenker Associates,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Back Bay,338 Newbury St,1,1,0,0.640,Newbury Prime Realty,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,South End,312 Stuart St,1,1,0,0.640,"Glanz Properties, Inc",,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Downtown,23-25 Kingston St,1,1,0,0.640,,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Downtown,192 South St,1,1,0,0.640,,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Seaport,273 Summer St,3,1,0,0.620,DWS Group,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Back Bay,85 Newbury St,2,1,0,0.610,Asana Partners,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Downtown,10 Winter Pl,2,2,0,0.600,,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
